GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry
36047004600,"Census Tract 46, Kings County, New York",1420,0.8081034597670558,118333,-0.12469983166509499,"list(list(c(-74.0415843352794, -74.0412160016512, -74.0410427721954, -74.03762, -74.034938, -74.032256, -74.026856, -74.027139, -74.027153, -74.029871, -74.032555, -74.033108, -74.035789, -74.036426, -74.039109, -74.040716, -74.0419861639864, -74.0415843352794, 40.6273297911037, 40.6284347016219, 40.6289543474893, 40.629013, 40.628375, 40.627741, 40.626459, 40.625762, 40.625727, 40.626374, 40.62701, 40.625647, 40.626285, 40.624734, 40.625372, 40.62572, 40.6261244035665, 40.6273297911037)))"
36047004700,"Census Tract 47, Kings County, New York",1889,0.12976480943109509,101150,-0.9215401885065151,"list(list(c(-74.0082201392615, -74.007379, -74.0073752505717, -74.004593, -74.00382, -74.003409, -74.002993, -74.001963, -74.000699, -74.001969, -74.001744, -74.000315, -73.997793, -73.99907, -73.999696, -74.000642, -74.004504, -74.004853, -74.005497, -74.008135, -74.008425, -74.0082201392615, 40.6867096862291, 40.687255, 40.6872620398502, 40.688215, 40.68893, 40.689613, 40.690427, 40.690136, 40.690612, 40.691843, 40.692407, 40.691875, 40.691188, 40.688498, 40.687198, 40.685247, 40.686301, 40.685668, 
40.685847, 40.685615, 40.686016, 40.6867096862291)))"
36047004900,"Census Tract 49, Kings County, New York",2520,0.27422581829893844,116950,0.9072737452278925,"list(list(c(-73.999696, -73.99907, -73.997793, -73.996233, -73.996874, -73.997562, -73.998189, -73.999081, -74.000642, -73.999696, 40.687198, 40.688498, 40.691188, 40.690758, 40.689433, 40.688, 40.6867, 40.684816, 40.685247, 40.687198)))"
36047005000,"Census Tract 50, Kings County, New York",2510,0.7955416329089827,90608,-0.3728960083861928,"list(list(c(-74.0420116265256, -74.0419869662144, -74.0419861639864, -74.040716, -74.039109, -74.036426, -74.035789, -74.033108, -74.033389, -74.033742, -74.034043, -74.034323, -74.034601, -74.039961, -74.040291, -74.0418192132994, -74.0418612425826, -74.0418649828308, -74.042412, -74.0420116265256, 40.626048022196, 40.6261219970794, 40.6261244035665, 40.62572, 40.625372, 40.624734, 40.626285, 40.625647, 40.624968, 40.624099, 40.623363, 40.622683, 40.622001, 40.623276, 40.622546, 40.622344566278, 
40.6225219918099, 40.6225377811708, 40.624847, 40.626048022196)))"
36047005100,"Census Tract 51, Kings County, New York",2143,0.490917331600704,85563,0.25412591175131827,"list(list(c(-74.005819, -74.005179, -74.004853, -74.004504, -74.000642, -74.001281, -74.001609, -74.001931, -74.00333, -74.003346, -74.003431, -74.004473, -74.005675, -74.00596, -74.005819, 40.683656, 40.684998, 40.685668, 40.686301, 40.685247, 40.683909, 40.683235, 40.682565, 40.679825, 40.67963, 40.679708, 40.680993, 40.68293, 40.683363, 40.683656)))"
36047005201,"Census Tract 52.01, Kings County, New York",1722,0.5380241823184791,29531,0.3455666084380387,"list(list(c(-74.0418192132994, -74.040291, -74.039961, -74.034601, -74.034886, -74.035437, -74.038095, -74.040475, -74.0413991059603, -74.0414213288962, -74.0416287977179, -74.0418192132994, 40.622344566278, 40.622546, 40.623276, 40.622001, 40.62132, 40.619956, 40.620585, 40.62079, 40.6205710940132, 40.6206649075623, 40.6215407318259, 40.622344566278)))"
36047005202,"Census Tract 52.02, Kings County, New York",2436,0.7295920419040975,68958,0.11043338838647185,"list(list(c(-74.0413991059603, -74.040475, -74.038095, -74.035437, -74.03599, -74.036895, -74.039183, -74.0405657471589, -74.0409710419105, -74.0410042130619, -74.0413991059603, 40.6205710940132, 40.62079, 40.620585, 40.619956, 40.618596, 40.618663, 40.617856, 40.6170530913903, 40.6187640327003, 40.6189040638579, 40.6205710940132)))"
36047005300,"Census Tract 53, Kings County, New York",2423,-0.20940451573688543,72841,-0.2357349633561123,"list(list(c(-74.0194315835348, -74.0152711331479, -74.0151452970256, -74.012113182521, -74.008425, -74.008135, -74.005497, -74.004853, -74.005179, -74.005819, -74.006623, -74.006713, -74.006919, -74.0092, -74.010451, -74.0117, -74.011055, -74.009544, -74.011412, -74.009611, -74.007711, -74.006005, -74.002608, -74.002016, -74.001354, -74.001213, -73.999924, -73.998863, -73.998619, -73.999021, -74.000175, -74.001454, -74.0178, -74.0186609605392, -74.020467, -74.0194315835348, 40.6794412644183, 40.6821385001711, 
40.6822200802061, 40.6841858115303, 40.686016, 40.685615, 40.685847, 40.685668, 40.684998, 40.683656, 40.683658, 40.683615, 40.683451, 40.681496, 40.680431, 40.679365, 40.678926, 40.677898, 40.676319, 40.675121, 40.674625, 40.674146, 40.673182, 40.674482, 40.675791, 40.67587, 40.674004, 40.672167, 40.67183, 40.671429, 40.668601, 40.667633, 40.662544, 40.6625189360408, 40.67877, 40.6794412644183)))"
36047005400,"Census Tract 54, Kings County, New York",3406,0.641659253897584,59696,0.3782240001118674,"list(list(c(-74.0405657471589, -74.039183, -74.036895, -74.03599, -74.033313, -74.030485, -74.031515, -74.033866, -74.035925, -74.035682, -74.037975, -74.038364, -74.040247207532, -74.0405657471589, 40.6170530913903, 40.617856, 40.618663, 40.618596, 40.617945, 40.616518, 40.61533, 40.616594, 40.617055, 40.616671, 40.615859, 40.616513, 40.6157083845955, 40.6170530913903)))"
36047005601,"Census Tract 56.01, Kings County, New York",2482,0.6793447344718041,53984,1.3187568803181338,"list(list(c(-74.040247207532, -74.038364, -74.037975, -74.035682, -74.035925, -74.033866, -74.031515, -74.031947, -74.032637, -74.034579, -74.037068, -74.0392655790145, -74.03959, -74.0395989873548, -74.0396105002328, -74.0396194803355, -74.0399350595924, -74.040247207532, 40.6157083845955, 40.616513, 40.615859, 40.616671, 40.617055, 40.616594, 40.61533, 40.614815, 40.61401, 40.61486, 40.613819, 40.6126282788836, 40.612934, 40.6129719398858, 40.6130205412023, 40.6130584504737, 40.6143906601431, 40.6157083845955
)))"
36047005602,"Census Tract 56.02, Kings County, New York",1730,0.2019953138650166,60164,0.07777599671264313,"list(list(c(-74.037068, -74.034579, -74.032637, -74.034871, -74.0363884489415, -74.0392655790145, -74.037068, 40.613819, 40.61486, 40.61401, 40.611366, 40.6099169887477, 40.6126282788836, 40.613819)))"
